filename,model_1_response,model_2_response
brit1.jpg,"Error: BadRequestError, (Request ID: Root=1-6900e595-7a4272ce3cea689f3915d8f6;2b8d4955-ce85-4738-bbcc-268a62203130)

Bad request:
{'message': ""The requested model 'lmms-lab/LLaVA-OneVision-1.5-8B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}","Error: BadRequestError, (Request ID: Root=1-6900e596-74977a7e62abf74905444b6a;91544cc8-f358-47c5-8987-4b4803f74238)

Bad request:
{'message': ""The requested model 'PsiPi/NousResearch_Nous-Hermes-2-Vision-GGUF' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
brit10.jpg,"Error: BadRequestError, (Request ID: Root=1-6900e596-1afa072b3128ac674c40d5e5;ddb9e35f-5733-46e0-99ea-9bcad99cdc90)

Bad request:
{'message': ""The requested model 'lmms-lab/LLaVA-OneVision-1.5-8B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}","Error: BadRequestError, (Request ID: Root=1-6900e596-1069a10361085ed95b9a0086;07b22299-70ee-40d5-81ea-590341217dc5)

Bad request:
{'message': ""The requested model 'PsiPi/NousResearch_Nous-Hermes-2-Vision-GGUF' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
brit2.jpg,"Error: BadRequestError, (Request ID: Root=1-6900e597-3b74f53532b874952189edd9;42c32cef-9152-49b2-b251-7153c0940752)

Bad request:
{'message': ""The requested model 'lmms-lab/LLaVA-OneVision-1.5-8B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}","Error: BadRequestError, (Request ID: Root=1-6900e597-4a8d2f7608cd1ebd1cf6c41d;f3b365d9-708d-4e8e-bad7-3d3ed0031d1a)

Bad request:
{'message': ""The requested model 'PsiPi/NousResearch_Nous-Hermes-2-Vision-GGUF' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
brit3.jpg,"Error: BadRequestError, (Request ID: Root=1-6900e597-2f206d4d2fd6b7dc1ec0b1e2;bd92f119-d208-46c8-a425-9841dad73077)

Bad request:
{'message': ""The requested model 'lmms-lab/LLaVA-OneVision-1.5-8B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}","Error: BadRequestError, (Request ID: Root=1-6900e598-1bb058e2369447c748db24d2;6def6420-b185-4428-b90a-dd2dfbd120e9)

Bad request:
{'message': ""The requested model 'PsiPi/NousResearch_Nous-Hermes-2-Vision-GGUF' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
brit4.jpg,"Error: BadRequestError, (Request ID: Root=1-6900e598-1f520b6975b151152a19c8ac;29e9ca3b-fc37-4c64-836f-d09025ec3b8f)

Bad request:
{'message': ""The requested model 'lmms-lab/LLaVA-OneVision-1.5-8B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}","Error: BadRequestError, (Request ID: Root=1-6900e598-32d4040069002a5c0a1c3299;1414bdea-687f-4df7-8185-f62581b734b6)

Bad request:
{'message': ""The requested model 'PsiPi/NousResearch_Nous-Hermes-2-Vision-GGUF' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
brit5.jpg,"Error: BadRequestError, (Request ID: Root=1-6900e599-6591f054063a239039349fd6;ddd2234e-322f-4257-a0c1-c064b3b5f674)

Bad request:
{'message': ""The requested model 'lmms-lab/LLaVA-OneVision-1.5-8B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}","Error: BadRequestError, (Request ID: Root=1-6900e599-70683cbe58bb77303f5ef70f;97fcb565-6b2d-4d8f-99d9-996158bec3ba)

Bad request:
{'message': ""The requested model 'PsiPi/NousResearch_Nous-Hermes-2-Vision-GGUF' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
brit6.jpg,"Error: BadRequestError, (Request ID: Root=1-6900e599-4460943227fcea664f99d9e6;0688061e-0489-429c-9106-ca01e45af39e)

Bad request:
{'message': ""The requested model 'lmms-lab/LLaVA-OneVision-1.5-8B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}","Error: BadRequestError, (Request ID: Root=1-6900e59a-279f6a3d2eded0b82ab56bbc;477c88cf-791f-4e73-88cc-682b5a9052fe)

Bad request:
{'message': ""The requested model 'PsiPi/NousResearch_Nous-Hermes-2-Vision-GGUF' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
brit7.jpg,"Error: BadRequestError, (Request ID: Root=1-6900e59a-7227f49c6db54cd84dfa5d4e;50d3a274-4a6a-417f-8a9d-8eea9e11c412)

Bad request:
{'message': ""The requested model 'lmms-lab/LLaVA-OneVision-1.5-8B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}","Error: BadRequestError, (Request ID: Root=1-6900e59a-62e2623d376c864924e8c0c1;2cf53071-e297-4448-8e31-bea77805e85b)

Bad request:
{'message': ""The requested model 'PsiPi/NousResearch_Nous-Hermes-2-Vision-GGUF' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
brit8.jpg,"Error: BadRequestError, (Request ID: Root=1-6900e59a-4a7fe5b13290098745eff9c5;f868d004-d04e-4b0d-a308-139a9ec9f87d)

Bad request:
{'message': ""The requested model 'lmms-lab/LLaVA-OneVision-1.5-8B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}","Error: BadRequestError, (Request ID: Root=1-6900e59b-6bd1d907235e8f1c062193ac;87b802cc-adde-408c-8290-f9a20800baae)

Bad request:
{'message': ""The requested model 'PsiPi/NousResearch_Nous-Hermes-2-Vision-GGUF' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
brit9.jpg,"Error: BadRequestError, (Request ID: Root=1-6900e59b-1db141be430b5eda0f7894bf;8beb6ed7-cafe-4a00-820a-22401ad8fadb)

Bad request:
{'message': ""The requested model 'lmms-lab/LLaVA-OneVision-1.5-8B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}","Error: BadRequestError, (Request ID: Root=1-6900e59b-0d0942cd2e832a952acd5c96;eca72b88-77f3-4973-a469-120730371281)

Bad request:
{'message': ""The requested model 'PsiPi/NousResearch_Nous-Hermes-2-Vision-GGUF' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
